,country,convertedcompyearly
0,AFG,213703.2458285714
1,ALB,290207.39175999997
2,ARE,124099.14658640625
3,ARG,297336.57350868854
4,AUS,140897.7815689895
5,AUT,53682.234595161906
6,AZE,7989.4841400000005
7,BEL,54834.037685884614
8,BGD,242526.28456594938
9,BGR,30705.777822448134
10,BIH,22532.334374901962
11,BLR,29471.061835555556
12,BOL,52080.61027
13,BRA,79013.92566118395
14,CAN,114934.37722298563
15,CHE,132436.59268161905
16,CHN,174619.12131994317
17,CYP,68245.32715935484
18,CZE,331505.73985868186
19,DEU,60145.49854530258
20,DNK,363111.25313416665
21,DOM,279178.04802391306
22,DZA,216762.65430666666
23,ECU,17502.9610528
24,EGY,62870.18159048001
25,ESP,44744.13543885897
26,EST,29872.678656565655
27,ETH,64100.89880470589
28,FIN,62294.6068214045
29,FRA,52078.50847842319
30,GBR,73521.39336224944
31,GEO,39759.10726276923
32,GHA,32186.5997305
33,GRC,28141.269968389613
34,GTM,92922.68534838708
35,HKG,278153.0643585542
36,HND,160590.40508571427
37,HRV,19405.707357942854
38,IND,225391.94527192292
39,IRL,79584.58519088353
40,ISR,313977.0023719614
41,ITA,51075.806985451476
42,JOR,11582.815010322582
43,JPN,200167.31227466668
44,KEN,255396.1416126154
45,KWT,14054.185465882352
46,LKA,250359.5704301613
47,LTU,25226.251904931505
48,LUX,83021.63067136363
49,LVA,23344.5966777451
50,MAR,64065.46613090909
51,MDA,146739.52313411765
52,MDV,140131.5489876923
53,MEX,196927.35186073935
54,MLT,32928.468234
55,MNE,13832.257974545453
56,MUS,183704.604448
57,MYS,38763.354711266664
58,NGA,235248.61745000002
59,NIC,174415.43224235292
60,NLD,62269.380230256
61,NOR,237389.76704588236
62,NPL,231504.3678137931
63,NZL,121501.2104686478
64,PAK,251452.4896899197
65,PAN,23722.464285714286
66,PER,44139.77614930435
67,PHL,186644.86379119204
68,POL,88775.52030066727
69,PRT,33446.46035533133
70,ROU,91834.06697667648
71,RUS,306199.6242524686
72,SAU,117906.21006571429
73,SGP,71207.98550674073
74,SLV,18001.152462727274
75,SRB,282376.7035457143
76,SVK,26431.152350463577
77,SVN,34004.162859797565
78,SWE,396665.8060623101
79,THA,228164.04172930555
80,TTO,192966.00071733334
81,TUN,34431.4339802
82,TUR,68113.66276456637
83,TWN,344885.14209846157
84,UKR,213525.33379132143
85,URY,167836.68131333333
86,USA,147783.9235883655
87,VEN,26711.864489876545
88,ZAF,263451.511442657
89,ZMB,92027.66677714286
